st_line,st_name,st_lat,st_lng,st_count
1호선,신창역,36.7696422998843,126.951393082675,1
1호선,청량리역,37.58059196570416,127.04727822250149,4
1호선,평택역,36.9908490091432,127.085272971043,1
1호선,구로역,37.50334245844327,126.88230919182318,1
1호선,종로5가역,37.570976108369,127.001539477188,1
1호선,당정역,37.343689819399884,126.94837119045768,1
1호선,망월사역,37.7102191609902,127.047418285506,1
1호선,백운역,37.483342495597,126.707294407871,1
1호선,광운대역,37.62387693023945,127.061840187993,2
1호선,광명역,37.4167362171922,126.884961689119,1
1호선,신이문역,37.6017816437084,127.067398003775,1
1호선,대방역,37.5133541411624,126.926496753621,1
1호선,관악역,37.41956795517324,126.90849999541258,1
1호선,병점역,37.206752699495524,127.03320037309325,1
1호선,영등포역,37.5156726288261,126.907550274975,1
1호선,덕계역,37.8187525814885,127.056691678415,1
1호선,오류동역,37.49439720933549,126.84480744815397,1
1호선,의정부역,37.7383624923599,127.045956826767,1
1호선,덕정역,37.8431876500694,127.06155932141,1
1호선,보산역,37.9141449200828,127.057178751034,1
1호선,제기동역,37.5781752985683,127.034949495921,1
1호선,오산대역,37.1693504386917,127.063075726398,1
1호선,지제역,37.0189003501333,127.070511577443,1
1호선,송탄역,37.0757126572027,127.05428046136659,1
1호선,수원역,37.26597772457933,127.00014656071755,2
1호선,온수역,37.4921837637489,126.82383837396199,2
1호선,시청역,37.564513616907604,126.976398240628,2
1호선,녹천역,37.6446334450742,127.051383151942,1
1호선,세류역,37.243872520123844,127.01379969649852,1
1호선,석수역,37.43509293822681,126.90232078368835,1
1호선,종각역,37.5702288920691,126.983151948921,1
1호선,제물포역,37.466733104861405,126.65696637554376,1
1호선,인천역,37.4763181115205,126.6171097090945,2
1호선,중동역,37.4866816250266,126.764535113735,1
1호선,남영역,37.5405657717581,126.971332097936,1
1호선,양주역,37.7741421622165,127.044721319691,1
1호선,금천구청역,37.4561943743749,126.893608614581,2
1호선,금천구청역,37.4561943743749,126.893608614581,2
1호선,금정역,37.37240328522215,126.94337272660249,2
1호선,종로3가역,37.5715248150862,126.99148299809167,3
1호선,성환역,36.9159530167598,127.126837110236,1
1호선,아산역,36.7921165665983,127.104076682696,1
1호선,노량진역,37.513820233800004,126.9415015309505,2
1호선,세마역,37.1871352848477,127.043426817312,1
1호선,쌍용역,36.7937257780754,127.121378271233,1
1호선,군포역,37.35419227847359,126.948517502286,1
1호선,명학역,37.3844604191546,126.935592791667,1
1호선,방학역,37.6674383662755,127.044321721307,1
1호선,배방역,36.7776965014173,127.052788090648,1
1호선,녹양역,37.759385253302,127.042279351606,1
1호선,역곡역,37.485314358615625,126.81205932067193,1
1호선,구일역,37.496254517687,126.86969110539,1
1호선,도봉산역,37.68959584897337,127.04624303805278,2
1호선,오산역,37.1447171633287,127.066630122646,1
