apartment_id,st_name,st_dist,st_volume
1,응봉역,0.0033126159967187744,1
3,학동역,0.0052289378568698575,1
4,양천향교역,0.005409340624597488,1
5,양천향교역,0.003970639005690843,1
6,가양역,0.0025974368017936665,1
7,양천향교역,0.0047742593217140646,1
8,발산역,0.0067216157219705756,1
9,가양역,0.004465521737544094,1
10,양천향교역,0.006592392529089059,1
11,양천향교역,0.003769109319481766,1
12,발산역,0.003129638073800065,1
13,발산역,0.004235493704914428,1
14,가양역,0.006461219438325088,1
15,발산역,0.006122453705852854,1
16,가양역,0.006032073109053355,1
17,방화역,0.004612239120698125,1
18,신사역,0.0017576397223027708,1
20,신방화역,0.001601127338315946,1
21,신방화역,0.0021505177637440452,1
22,방화역,0.003320086314502088,1
23,방화역,0.004149782978373439,1
24,개화산역,0.0047447472768949684,1
25,방화역,0.004694855046072839,1
26,방화역,0.002081276206719045,1
27,신방화역,0.00548390963550698,1
28,매봉역,0.004629308054526167,1
29,학동역,0.0060872921061079594,1
30,개화산역,0.004915500470392125,1
31,방화역,0.003941507841307283,1
32,방화역,0.003681710713254237,1
33,개화산역,0.004591200394254077,1
34,등촌역,0.002009633995050494,1
35,등촌역,0.0031598417616539405,1
36,등촌역,0.003923153483023177,1
37,등촌역,0.004537081136203458,1
38,등촌역,0.006072668721184141,1
39,등촌역,0.004925519684998166,1
40,등촌역,0.0014490718338536217,1
41,등촌역,0.003796906609413596,1
47,금천구청역,0.003624955517977108,2
50,신림역,0.02353776541042401,1
51,신림역,0.01999910109115757,1
52,구로디지털단지역,0.011484919023248852,1
53,신대방역,0.01661166250716534,1
54,공릉역,0.004027871738052396,1
55,봉천역,0.015655026138320947,1
56,봉천역,0.018472284595145282,1
57,봉천역,0.018620643655355304,1
58,신림역,0.008803621591251401,1
59,봉천역,0.01970422190471159,1
60,신림역,0.01837850799357984,1
61,신대방역,0.014650257931010865,1
62,신림역,0.0037761358351779397,1
63,신림역,0.0055294478529761635,1
64,상계역,0.003551164998840146,1
65,도곡역,0.0010833863749524896,2
66,광나루역,0.0033999286725648814,1
67,광나루역,0.0025390726107979702,1
68,광나루역,0.005226451468719146,1
69,광나루역,0.005494343007383132,1
70,광나루역,0.005754357230696957,1
71,광나루역,0.004780558987702679,1
72,마들역,0.005360371540072801,1
73,강변역,0.007342876104211319,1
74,강변역,0.005626602556475036,1
75,강변역,0.004854154099724427,1
76,강변역,0.007158429897484095,1
77,강변역,0.007278389331056351,1
79,구의역,0.003711822311159294,1
80,광나루역,0.0022649912555391108,1
81,강변역,0.004830304836406351,1
82,구의역,0.005094610408438044,1
83,구의역,0.001888173190134986,1
84,강변역,0.0021975483916306924,1
85,뚝섬유원지역,0.006153555348678473,1
86,뚝섬유원지역,0.004450631601169947,1
87,뚝섬유원지역,0.004828175524332143,1
88,뚝섬유원지역,0.004949957630369672,1
89,뚝섬유원지역,0.011277198515915781,1
90,뚝섬유원지역,0.004866133356600972,1
91,도곡역,0.0008591319293449905,2
92,뚝섬유원지역,0.004162055359737902,1
93,건대입구역,0.00472788937974587,2
94,건대입구역,0.005706857044791262,2
96,건대입구역,0.005093649910689677,2
97,건대입구역,0.004392881421486397,2
99,뚝섬유원지역,0.0038731061709879593,1
101,구의역,0.009581924117127216,1
102,뚝섬유원지역,0.002579237398207754,1
103,구의역,0.010772340308692573,1
104,개봉역,0.0016651704931912642,1
105,대치역,0.001324510217929864,1
106,개봉역,0.0007157962501982545,1
107,광명사거리역,0.008681179239103642,1
108,오류동역,0.007604330024653938,1
109,노원역,0.008078436807239705,2
110,오류동역,0.010209551430887991,1
111,천왕역,0.009073408087988236,1
112,오류동역,0.0009086607741881028,1
113,오류동역,0.004762164008859965,1
114,개봉역,0.005020476191948445,1
115,오류동역,0.006802181919628043,1
116,개봉역,0.0024145705512546934,1
117,개봉역,0.007686255498954089,1
118,개봉역,0.008199515559313164,1
119,양천구청역,0.011142380736479473,1
121,개봉역,0.009596428323274378,1
123,개봉역,0.00662539942828065,1
126,하계역,0.004070330082763196,1
127,구로역,0.007766631033032967,1
128,월계역,0.003135485781278076,1
129,대림역,0.0070201261363066455,2
130,남구로역,0.004378306349359009,1
131,남구로역,0.0022026248692244713,1
132,구로역,0.0012352936675509372,1
133,대림역,0.00546188540206532,2
135,한티역,0.0028270309922424674,1
137,구일역,0.0039035672160828666,1
138,구일역,0.006229937918027207,1
140,구일역,0.007298618268600034,1
143,구일역,0.0006554347224251587,1
144,가산디지털단지역,0.010473449786473465,2
149,양천구청역,0.00901866513329638,1
150,도림천역,0.0026839618447804647,1
151,도림천역,0.002949332162015493,1
152,도림천역,0.002206890633156853,1
153,도림천역,0.0021260386188365578,1
154,대치역,0.004296817991772941,1
155,천왕역,0.006305214893723816,1
156,오류동역,0.002791045554066169,1
157,오류동역,0.0027333714701816675,1
158,오류동역,0.002636302640492777,1
159,가산디지털단지역,0.008474026233932222,2
160,독산역,0.007044413167532079,1
161,독산역,0.008557930002796883,1
162,금천구청역,0.007238103175924204,2
163,독산역,0.0025688739047433247,1
164,독산역,0.004324940013365162,1
165,석수역,0.015308852008872706,1
166,학여울역,0.004768048481527664,1
167,금천구청역,0.008197095825029234,2
168,금천구청역,0.0018604457086170102,2
169,석수역,0.02047257030702874,1
170,금천구청역,0.005265492816044797,2
172,공릉역,0.0032634920329326802,1
173,공릉역,0.004936630797822182,1
174,월계역,0.005479025373120632,1
175,공릉역,0.00301993825328198,1
176,화랑대역,0.004981808219297703,1
177,공릉역,0.00456273545439144,1
179,화랑대역,0.002087639468480335,1
